,High,Low,Open,Close,Volume,Adj Close,MarginPurchaseBuy,MarginPurchaseCashRepayment,MarginPurchaseSell,MarginPurchaseTodayBalance,MarginPurchaseYesterdayBalance,OffsetLoanAndShort,ShortSaleBuy,ShortSaleSell,ShortSaleTodayBalance,ShortSaleYesterdayBalance,b_total,s_total,b_s_ratio,buy_volume,sell_volume,bs_ratio
2008-06-02,62.75,62.75,62.75,62.75,0.0,62.75,409.0,1.0,1196.0,13172.0,13960.0,223.0,97.0,198.0,3210.0,3113.0,152328.0,162290.0,1.0653913568657314,,,
2008-06-03,61.45000076293945,61.45000076293945,61.45000076293945,61.45000076293945,0.0,61.45000076293945,877.0,5.0,223.0,13821.0,13172.0,165.0,286.0,102.0,3026.0,3210.0,152179.0,162974.0,1.0709291628334867,,,
2008-06-04,61.7599983215332,61.7599983215332,61.7599983215332,61.7599983215332,0.0,61.7599983215332,237.0,2.0,311.0,13745.0,13821.0,126.0,122.0,259.0,3163.0,3026.0,152630.0,163212.0,1.0693240560567643,,,
2008-06-05,62.52000045776367,62.52000045776367,62.52000045776367,62.52000045776367,0.0,62.52000045776367,599.0,0.0,836.0,13508.0,13745.0,555.0,371.0,348.0,3140.0,3163.0,154617.0,164985.0,1.0670491145920915,,,
2008-06-06,62.4900016784668,62.4900016784668,62.4900016784668,62.4900016784668,0.0,62.4900016784668,382.0,11.0,949.0,12930.0,13508.0,114.0,146.0,172.0,3163.0,3140.0,155445.0,165212.0,1.062825675797383,,,
2008-06-09,61.130001068115234,61.130001068115234,61.130001068115234,61.130001068115234,0.0,61.130001068115234,1558.0,54.0,359.0,14075.0,12930.0,156.0,647.0,202.0,2718.0,3163.0,154675.0,166032.0,1.0734179833975537,,,
2008-06-10,59.56999969482422,59.56999969482422,59.56999969482422,59.56999969482422,0.0,59.56999969482422,1988.0,3.0,320.0,15740.0,14075.0,452.0,560.0,310.0,2468.0,2718.0,153510.0,166782.0,1.0864498309567392,,,
2008-06-11,59.9900016784668,59.9900016784668,59.9900016784668,59.9900016784668,0.0,59.9900016784668,852.0,0.0,945.0,15647.0,15740.0,305.0,267.0,327.0,2528.0,2468.0,154103.0,167222.0,1.0851243316202046,,,
2008-06-12,58.34000015258789,58.34000015258789,58.34000015258789,58.34000015258789,0.0,58.34000015258789,2265.0,20.0,700.0,17192.0,15647.0,395.0,720.0,273.0,2081.0,2528.0,153308.0,168419.0,1.0985591191645632,,,
2008-06-13,58.65999984741211,58.65999984741211,58.65999984741211,58.65999984741211,0.0,58.65999984741211,544.0,0.0,566.0,17170.0,17192.0,271.0,200.0,453.0,2334.0,2081.0,153580.0,168416.0,1.0965939797240545,,,
2008-06-16,59.150001525878906,59.150001525878906,59.150001525878906,59.150001525878906,0.0,59.150001525878906,298.0,33.0,795.0,16640.0,17170.0,210.0,157.0,161.0,2338.0,2334.0,154735.0,169037.0,1.0924219315479269,,,
